Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7eQl3Yqv35ioqUfveKHitE,"1wRPtKGflJrBx9BmLsSwlU,5GnnSrwNCGyfAU4zuIytiS",Tum Se Hi,Jab We Met,"Pritam,Mohit Chauhan",21-09-2007,321225,77,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2019-09-18T16:03:30Z,"filmi,indian instrumental,modern bollywood",0.609,0.538,6,-7.842,1,0.0273,0.328,0,0.125,0.608,130.015,4
6aPMWbbdhDhiJHlknZb9Yx,"4YRxDV8wJFPHPTeXepOstw,1SyKki7JI1AZNKwgNMkn25",Bekhayali (Arijit Singh Version) [From Kabir Singh],Bekhayali (Arijit Singh Version) [From Kabir Singh],"Arijit Singh,Sachet-Parampara",03-06-2019,370444,56,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2019-09-18T16:03:47Z,"filmi,modern bollywood,desi pop",0.265,0.58,9,-4.767,0,0.0491,0.491,0,0.243,0.345,172.121,3
6zCQF5tu7HVwU9shhKqiuF,"2kkQthS9OLpK4UqNWYqoVl,4YRxDV8wJFPHPTeXepOstw",Khamoshiyan,Khamoshiyan (Original Motion Picture Soundtrack),"Jeet Gannguli,Arijit Singh",29-12-2014,335709,69,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2019-09-18T16:03:57Z,"filmi,modern bollywood,west bengali pop",0.527,0.521,2,-6.837,0,0.0272,0.631,0,0.158,0.266,143.892,3
0qxTDueomxqHEUPwlD9y4S,"7HCqGPJcQTyGJ2yqntbuyr,3nQ125TJobosBH446Dsvvv,2fMqTqiTxUDlmcOEPaQSsx",Iktara (From Wake Up Sid),Perfect 10: Love Story,"Amit Trivedi,Kavita Seth,Amitabh Bhattacharya",20-01-2012,251773,30,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2020-08-26T13:36:59Z,"filmi,modern bollywood,hindi indie,sufi",0.622,0.516,7,-7.514,1,0.0259,0.429,0.000652,0.466,0.399,80.013,4
4iFPsNzNV7V9KJgcOX7TEO,"2oSONSC9zQ4UonDKnLqksx,1wRPtKGflJrBx9BmLsSwlU",Tu Jaane Na,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),"Atif Aslam,Pritam",06-11-2009,341933,71,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2020-12-22T21:15:41Z,"classic pakistani pop,filmi,modern bollywood,sufi,indian instrumental",0.702,0.86,7,-3.969,1,0.0345,0.361,0.00000133,0.133,0.829,120.042,4
2fkJkUAcDU214ds17s2tE4,"44RHVQwXmrmkfsOnSuURmF,7ryOj0x9PQ23Cnm13lKh6o",Tu Jo Mila,Tu Jo Mila,"Aman Sagar,Cherish Banhotra",19-10-2023,186176,30,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2023-12-14T12:03:40Z,,0.711,0.511,10,-4.64,0,0.029,0.112,0.00145,0.086,0.378,129.973,4
6FjbAnaPRPwiP3sciEYctO,"1wRPtKGflJrBx9BmLsSwlU,4YRxDV8wJFPHPTeXepOstw",Raabta,Agent Vinod,"Pritam,Arijit Singh",24-02-2012,243578,75,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2019-09-18T16:04:45Z,"filmi,indian instrumental,modern bollywood",0.657,0.581,0,-8.108,1,0.0298,0.699,0.0000182,0.116,0.323,118.037,4
4r8JqkhpTb5tzSKKHnVJIJ,"5GnnSrwNCGyfAU4zuIytiS,4xd7mLI7urqrxELaXhAvzw,3wZBspj86lRk2XLf4gfnSE",Tujhe Bhula Diya,Anjaana Anjaani,"Mohit Chauhan,Shekhar Ravjiani,Shruti Pathak",19-08-2010,279429,72,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2020-12-22T21:17:49Z,"filmi,modern bollywood",0.644,0.423,11,-8.702,0,0.0324,0.464,0,0.11,0.509,131.903,4
2MsGTWvf7dcjKbI0WTq6Pz,"3cqeO3muWIW5uSmUDNCmyT,4YRxDV8wJFPHPTeXepOstw",Judaai,Badlapur (Original Motion Picture Soundtrack),"Rekha Bhardwaj,Arijit Singh",09-12-2014,272772,69,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2023-09-19T10:42:44Z,"filmi,modern bollywood",0.299,0.436,3,-7.013,1,0.101,0.738,0.000058,0.112,0.269,76.11,4
3hkC9EHFZNQPXrtl8WPHnX,"3gBKY0y3dFFVRqicLnVZYz,4YRxDV8wJFPHPTeXepOstw",Agar Tum Saath Ho,Tamasha,"Alka Yagnik,Arijit Singh",16-10-2015,341054,76,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2020-01-01T10:08:04Z,"filmi,hare krishna,modern bollywood",0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,4
1vgVsR5rkXGP4NmUcoroJH,1TbRSunWGZ46mqnapcWxrm,Aye Khuda,Paathshaala,Salim Merchant,15-03-2010,280497,64,spotify:user:7mq9oy7pfjv07t9yjj4gj2qy9,2020-12-27T07:58:51Z,"filmi,modern bollywood",0.656,0.762,9,-6.328,1,0.0315,0.549,0,0.139,0.558,110.002,4
